mission_id,phase,phase_name,title,scope,depends_on,capability_selector,required_master_context,agent_context_budget,deliverables,exit_gate,status
M-076,16,Verification & Evidence,Independent completion E2E,Verification & Evidence: Independent completion E2E.,M-075,"VER,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-077,17,Recovery,Implement RecoveryRecord workflow,Crash/reconnect/provider/workspace recovery state machine and honest lost classification.,M-076,"GIT,TRU,AGT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-078,17,Recovery,Implement provider/workspace reattachment,Recovery: Implement provider/workspace reattachment.,M-077,"GIT,TRU,AGT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-079,17,Recovery,Implement revision reconciliation,Recovery: Implement revision reconciliation.,M-078,"GIT,TRU,AGT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-080,17,Recovery,Implement reverify-after-recovery,Recovery: Implement reverify-after-recovery.,M-079,"GIT,TRU,AGT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-081,17,Recovery,Crash-window chaos suite,Recovery: Crash-window chaos suite.,M-080,"GIT,TRU,AGT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-082,18,MCP / Tools,Implement MCP modern client,"MCP 2026-07-28 client/server, connection-backed tool catalog, tool grants and approval policy.",M-081,"CON,ECO",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-083,18,MCP / Tools,Implement MCP server for VibeFlow tools,MCP / Tools: Implement MCP server for VibeFlow tools.,M-082,"CON,ECO",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-084,18,MCP / Tools,Implement tool catalog/grant binding,MCP / Tools: Implement tool catalog/grant binding.,M-083,"CON,ECO",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-085,18,MCP / Tools,Implement approval-mediated tool calls,MCP / Tools: Implement approval-mediated tool calls.,M-084,"CON,ECO",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-086,18,MCP / Tools,MCP conformance/security suite,MCP / Tools: MCP conformance/security suite.,M-085,"CON,ECO",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-087,19,Data & Storage,Implement DataBinding,"DataBinding, ObjectStorageBinding, environment separation, migration/snapshot evidence.",M-086,DAT,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-088,19,Data & Storage,Implement ObjectStorageBinding,Data & Storage: Implement ObjectStorageBinding.,M-087,DAT,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-089,19,Data & Storage,Implement environment separation,Data & Storage: Implement environment separation.,M-088,DAT,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-090,19,Data & Storage,Implement data/storage UX,Data & Storage: Implement data/storage UX.,M-089,DAT,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-091,19,Data & Storage,Snapshot/migration evidence tests,Data & Storage: Snapshot/migration evidence tests.,M-090,DAT,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-092,20,Deployment & Release,Implement Release model,"Release model, deployment adapters, previews vs prod, domains/access, rollback.",M-091,"DEP,REL",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-093,20,Deployment & Release,Implement deployment provider contract,Deployment & Release: Implement deployment provider contract.,M-092,"DEP,REL",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-094,20,Deployment & Release,Implement first deployment adapter,Deployment & Release: Implement first deployment adapter.,M-093,"DEP,REL",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-095,20,Deployment & Release,Implement domains/access/rollback,Deployment & Release: Implement domains/access/rollback.,M-094,"DEP,REL",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-096,20,Deployment & Release,Release provenance E2E,Deployment & Release: Release provenance E2E.,M-095,"DEP,REL",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-097,21,Observability & Incidents,Instrument OpenTelemetry,"OpenTelemetry, logs/metrics/traces, redaction, health, incident→Task lineage.",M-096,OBS,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-098,21,Observability & Incidents,Implement log/trace redaction,Observability & Incidents: Implement log/trace redaction.,M-097,OBS,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-099,21,Observability & Incidents,Implement health/monitoring UX,Observability & Incidents: Implement health/monitoring UX.,M-098,OBS,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-100,21,Observability & Incidents,Implement incident-to-task loop,Observability & Incidents: Implement incident-to-task loop.,M-099,OBS,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-101,21,Observability & Incidents,Observability SLO tests,Observability & Incidents: Observability SLO tests.,M-100,OBS,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-102,22,Security Product,Implement security center,"Security center, egress/resource policy, dependency/supply-chain scans, audit UX.",M-101,"VER,REL",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-103,22,Security Product,Implement egress/resource policy,Security Product: Implement egress/resource policy.,M-102,"VER,REL",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-104,22,Security Product,Integrate dependency/container/static scans,Security Product: Integrate dependency/container/static scans.,M-103,"VER,REL",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-105,22,Security Product,Implement supply-chain attestations,Security Product: Implement supply-chain attestations.,M-104,"VER,REL",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-106,22,Security Product,Security regression suite,Security Product: Security regression suite.,M-105,"VER,REL",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-107,23,Notifications & Automations,Implement Notification authority,"Push/action-needed notifications, triggers, schedules, long-running automations.",M-106,"AUT,MOB",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-108,23,Notifications & Automations,Implement push delivery adapters,Notifications & Automations: Implement push delivery adapters.,M-107,"AUT,MOB",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-109,23,Notifications & Automations,Implement automations/triggers,Notifications & Automations: Implement automations/triggers.,M-108,"AUT,MOB",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-110,23,Notifications & Automations,Implement long-running automation recovery,Notifications & Automations: Implement long-running automation recovery.,M-109,"AUT,MOB",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-111,23,Notifications & Automations,Action center E2E,Notifications & Automations: Action center E2E.,M-110,"AUT,MOB",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-112,24,Billing & Entitlements,Implement Entitlement model,"VibeFlow subscription, entitlements, provider-attributed usage/budgets, store reconciliation.",M-111,"BIL,SAA",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-113,24,Billing & Entitlements,Implement VibeFlow subscription billing,Billing & Entitlements: Implement VibeFlow subscription billing.,M-112,"BIL,SAA",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-114,24,Billing & Entitlements,Implement provider usage/budgets,Billing & Entitlements: Implement provider usage/budgets.,M-113,"BIL,SAA",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-115,24,Billing & Entitlements,Implement store purchase reconciliation,Billing & Entitlements: Implement store purchase reconciliation.,M-114,"BIL,SAA",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-116,24,Billing & Entitlements,Billing ledger E2E,Billing & Entitlements: Billing ledger E2E.,M-115,"BIL,SAA",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-117,25,Collaboration,Implement project membership/roles,"Members, roles, comments/activity, shared projects, conflict/revision awareness.",M-116,COL,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-118,25,Collaboration,Implement shared activity/comments,Collaboration: Implement shared activity/comments.,M-117,COL,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-119,25,Collaboration,Implement collaboration revision awareness,Collaboration: Implement collaboration revision awareness.,M-118,COL,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-120,25,Collaboration,Collaboration isolation E2E,Collaboration: Collaboration isolation E2E.,M-119,COL,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-121,26,Design / Canvas,Implement artifact graph canvas,"Artifact graph, canvas, visual editor, source/design mapping, imports.",M-120,DSN,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-122,26,Design / Canvas,Implement visual editor mapping,Design / Canvas: Implement visual editor mapping.,M-121,DSN,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-123,26,Design / Canvas,Implement design import/export,Design / Canvas: Implement design import/export.,M-122,DSN,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-124,26,Design / Canvas,Implement design-to-build task flows,Design / Canvas: Implement design-to-build task flows.,M-123,DSN,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-125,27,Native App Development,Implement mobile artifact project type,"Mobile artifact recipes, device builds/tests, EAS/store release evidence.",M-124,NAT,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-126,27,Native App Development,Integrate device/build provider,Native App Development: Integrate device/build provider.,M-125,NAT,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-127,27,Native App Development,Implement guided mobile testing,Native App Development: Implement guided mobile testing.,M-126,NAT,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-128,27,Native App Development,Implement store release evidence,Native App Development: Implement store release evidence.,M-127,NAT,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-129,28,External Ecosystem,Implement public API/auth scopes,"External ACP/MCP/A2A/AG-UI compatibility, public APIs, webhooks, project export/import.",M-128,"ECO,PORT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-130,28,External Ecosystem,Implement webhooks/CloudEvents,External Ecosystem: Implement webhooks/CloudEvents.,M-129,"ECO,PORT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-131,28,External Ecosystem,Implement external ACP/MCP clients,External Ecosystem: Implement external ACP/MCP clients.,M-130,"ECO,PORT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-132,28,External Ecosystem,Implement A2A delegation profile,External Ecosystem: Implement A2A delegation profile.,M-131,"ECO,PORT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-133,28,External Ecosystem,Implement project export/import,External Ecosystem: Implement project export/import.,M-132,"ECO,PORT",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-134,29,Enterprise,Implement SAML/SCIM,"SAML/SCIM, org policy, SIEM/admin API, enterprise connection controls.",M-133,"COL,IAM",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-135,29,Enterprise,Implement enterprise policy controls,Enterprise: Implement enterprise policy controls.,M-134,"COL,IAM",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-136,29,Enterprise,Implement SIEM/admin API,Enterprise: Implement SIEM/admin API.,M-135,"COL,IAM",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-137,29,Enterprise,Enterprise isolation/compliance tests,Enterprise: Enterprise isolation/compliance tests.,M-136,"COL,IAM",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-138,30,Accessibility / Localization / Growth,Accessibility audit/fixes,"WCAG, localization, feedback, onboarding, discovery surfaces.",M-137,"GRO,EXP,MOB",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-139,30,Accessibility / Localization / Growth,Localization framework,Accessibility / Localization / Growth: Localization framework.,M-138,"GRO,EXP,MOB",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-140,30,Accessibility / Localization / Growth,Onboarding/feedback/discovery,Accessibility / Localization / Growth: Onboarding/feedback/discovery.,M-139,"GRO,EXP,MOB",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-141,30,Accessibility / Localization / Growth,Growth surfaces without authority leaks,Accessibility / Localization / Growth: Growth surfaces without authority leaks.,M-140,"GRO,EXP,MOB",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-142,31,Reliability & Performance,Load/performance budgets,"Load, chaos, DR, backups, migration, provider failover, performance budgets.",M-141,"REL,OBS,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-143,31,Reliability & Performance,Backup/restore/DR drills,Reliability & Performance: Backup/restore/DR drills.,M-142,"REL,OBS,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-144,31,Reliability & Performance,Provider failover/migration,Reliability & Performance: Provider failover/migration.,M-143,"REL,OBS,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-145,31,Reliability & Performance,Schema/protocol upgrade tests,Reliability & Performance: Schema/protocol upgrade tests.,M-144,"REL,OBS,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-146,31,Reliability & Performance,Chaos and soak testing,Reliability & Performance: Chaos and soak testing.,M-145,"REL,OBS,TRU",MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-147,32,Production Hardening & V1 Acceptance,Close V1 capability ledger,"Full capability closure, security audit, provider certification, release gates and launch readiness.",M-146,ALL,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-148,32,Production Hardening & V1 Acceptance,Run full provider certification,Production Hardening & V1 Acceptance: Run full provider certification.,M-147,ALL,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-149,32,Production Hardening & V1 Acceptance,Run independent security/release audit,Production Hardening & V1 Acceptance: Run independent security/release audit.,M-148,ALL,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-150,32,Production Hardening & V1 Acceptance,Run V1 acceptance journeys,Production Hardening & V1 Acceptance: Run V1 acceptance journeys.,M-149,ALL,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
M-151,32,Production Hardening & V1 Acceptance,Create signed V1 evidence bundle,Production Hardening & V1 Acceptance: Create signed V1 evidence bundle.,M-150,ALL,MASTER_OF_MASTERS + relevant master(s) + exact contracts + harvest entries + acceptance gates,small: target <= 12k tokens unless mission explicitly requires more,code/tests/evidence + ledger update + ADR only if architecture decision changed,all mission acceptance tests pass; no invariant violation; CI green,LOCKED
